 , ,,,
model number,3,,,
0,0.298979998,2.015668869,0.421200007,1.58577776
1,0.414759994,1.605755568,0.478700012,1.427682161
2,0.459960014,1.492910147,0.518899977,1.329930186
3,0.488079995,1.422196507,0.549499989,1.280065894
4,0.518819988,1.353662491,0.545000017,1.304757595
5,0.543659985,1.288313627,0.546899974,1.325856447
6,0.554419994,1.266049623,0.610300004,1.133802652
7,0.573499978,1.214642167,0.632000029,1.051167727
8,0.586239994,1.176843882,0.629499972,1.089599729
9,0.601880014,1.1432302,0.640900016,1.047500968
10,0.609019995,1.120701909,0.661599994,0.968162417
11,0.616559982,1.093345761,0.639599979,1.065339088
12,0.625060022,1.068937063,0.638800025,1.084945083
13,0.63499999,1.049055576,0.663800001,0.957543373
14,0.639339983,1.037733555,0.65170002,1.044396758
15,0.644119978,1.020674586,0.634599984,1.107376218
16,0.6505,1.001495838,0.677299976,0.956359982
17,0.653540015,0.994809687,0.687600017,0.9081707
18,0.657920003,0.978872418,0.683499992,0.948736429
19,0.663999975,0.965847135,0.68900001,0.941188455
20,0.665459991,0.966232359,0.666999996,1.025855064
21,0.671000004,0.946408689,0.70389998,0.878102839
22,0.675580025,0.940008819,0.716899991,0.835209489
23,0.678560019,0.935360134,0.707899988,0.87126112
24,0.682380021,0.923325956,0.70539999,0.878014565
25,0.681439996,0.925633132,0.712100029,0.865319848
26,0.681640029,0.920458496,0.708100021,0.876338005
27,0.687139988,0.909083605,0.695100009,0.916976154
28,0.688319981,0.904796958,0.701900005,0.900394797
29,0.690299988,0.899992883,0.719699979,0.839955688
30,0.695879996,0.886406481,0.701399982,0.923118234
31,0.692780018,0.893309236,0.67110002,1.016053081
best test accuracy,0.67110002,,,
elapsed time,984.1467798,,,
activation_functions,"['relu', 'relu', 'relu', 'relu', 'softmax']",,,
batch_size,64,,,
epochs,200,,,
data_augmentation/rotation_range,20,,,
data_augmentation/width_shift_range,0.2,,,
data_augmentation/horizontal_flip,TRUE,,,
callbacks/EarlyStopping,"{'monitor': 'val_loss', 'patience': 9}",,,
callbacks/ModelCheckpoint,"{'filepath': 'model_checkpoint.keras', 'save_best_only': True, 'monitor': 'val_accuracy', 'verbose': 1}",,,
callbacks/CSVLogger,"{'filename': 'model_feature_info.csv', 'separator': ',', 'append': 'True'}",,,
Layer Type, Conv2D,,,
Output Shape," (None, 30, 30, 32)",,,
Number of Parameters,896,,,
Layer Type, MaxPooling2D,,,
Output Shape," (None, 15, 15, 32)",,,
Number of Parameters,0,,,
Layer Type, Conv2D,,,
Output Shape," (None, 13, 13, 64)",,,
Number of Parameters,18496,,,
Layer Type, MaxPooling2D,,,
Output Shape," (None, 6, 6, 64)",,,
Number of Parameters,0,,,
Layer Type, Conv2D,,,
Output Shape," (None, 4, 4, 64)",,,
Number of Parameters,36928,,,
Layer Type, Flatten,,,
Output Shape," (None, 1024)",,,
Number of Parameters,0,,,
Layer Type, Dense,,,
Output Shape," (None, 64)",,,
Number of Parameters,65600,,,
Layer Type, Dense,,,
Output Shape," (None, 10)",,,
Number of Parameters,650,,,
 , ,,,
model number,4,,,
0,0.318839997,1.961932063,0.431100011,1.530390859
